"WindowTitle","AutomationId","Name","ClassName","LocalizedControlType","Top","Left","Height","Width","Patterns","DuplicateCount"
"OBS 29.0.2 (64","OBSBasic","OBS 29.0.2 (64-bit, windows) - プロファイル: 無題 - シーン: a","OBSBasic","ウィンドウ","23","0","1009","1920","InvokePattern_ValuePattern_WindowPattern_TransformPattern","1"
"OBS 29.0.2 (64","OBSBasic.centralwidget","","QWidget","グループ","47","0","724","1920","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.centralwidget.preview","","OBSBasicPreview","グループ","47","4","724","1912","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.menubar","","QMenuBar","メニュー バー","23","0","24","1920","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","","ファイル(F)","QAction","メニュー項目","23","0","23","68","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","編集(E)","QAction","メニュー項目","23","68","23","57","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","表示(V)","QAction","メニュー項目","23","125","23","58","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","ドック(D)","QAction","メニュー項目","23","183","23","61","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","プロファイル(P)","QAction","メニュー項目","23","244","23","88","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","シーンコレクション(S)","QAction","メニュー項目","23","332","23","116","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","ツール(T)","QAction","メニュー項目","23","448","23","60","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","","ヘルプ(H)","QAction","メニュー項目","23","508","23","65","InvokePattern_ValuePattern_ExpandCollapsePattern","1"
"OBS 29.0.2 (64","OBSBasic.sourcesDock","ソース","OBSDock","ウィンドウ","775","0","257","874","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.sourcesDock.dockWidgetContents_6","","QWidget","グループ","806","0","226","874","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.sourcesDock.dockWidgetContents_6.sourcesFrame","","QFrame","カスタム","806","0","226","874","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.sourcesDock.dockWidgetContents_6.sourcesFrame.sources","","SourceTree","一覧","807","1","224","872","SelectionPattern_ValuePattern","1"
"OBS 29.0.2 (64","","速報.xlsm","","一覧項目","810","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","","メイン","","一覧項目","840","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","","きょり","","一覧項目","870","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","","現在距離","","一覧項目","900","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","","下部タイム","","一覧項目","930","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","","観察車待機中","","一覧項目","960","4","30","866","InvokePattern_ValuePattern_SelectionItemPattern","1"
"OBS 29.0.2 (64","OBSBasic.sourcesDock.qt_dockwidget_floatbutton","Float","QDockWidgetTitleButton","ボタン","783","852","16","21","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock","コントロール","OBSDock","ウィンドウ","775","878","257","1042","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents","","QWidget","グループ","806","878","226","1042","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.streamButton","配信開始","QPushButton","チェック ボックス","810","882","40","516","InvokePattern_ValuePattern_TogglePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.broadcastButton","配信の管理","QPushButton","チェック ボックス","810","1400","40","516","InvokePattern_ValuePattern_TogglePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.recordButton","録画開始","RecordButton","チェック ボックス","852","882","40","1034","InvokePattern_ValuePattern_TogglePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.modeSwitch","スタジオモード","QPushButton","チェック ボックス","928","882","32","1034","InvokePattern_ValuePattern_TogglePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.settingsButton","設定","QPushButton","ボタン","962","882","32","1034","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.controlsDockContents.exitButton","終了","QPushButton","ボタン","996","882","32","1034","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","","仮想カメラ開始","QPushButton","チェック ボックス","894","882","32","1000","InvokePattern_ValuePattern_TogglePattern","1"
"OBS 29.0.2 (64","","仮想カメラの設定","QPushButton","ボタン","894","1884","32","32","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","OBSBasic.controlsDock.qt_dockwidget_floatbutton","Float","QDockWidgetTitleButton","ボタン","783","1898","16","21","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","","コントロール","QTabBar","タブ","-507","-600","30","100","InvokePattern_ValuePattern","1"
"OBS 29.0.2 (64","","コントロール","","タブ項目","-507","-600","38","85","InvokePattern_ValuePattern","1"
